"Summary","Issue Type","Priority","Labels","Description"
"Race Condition in Coupon Usage Limit During Concurrent Flash Sales","Bug","Medium","backend coupons","[SEVERITY & IMPACT]
P2 - Financial Over-Discounting Risk.
When a promotional coupon with a restricted usage limit (e.g. first 50 users receive ₹500 off) is targeted during high-traffic flash sales, concurrent checkout requests bypass the usage check, allowing usage to exceed limits.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/coupons/service/CouponService.java (Lines 118-120, 149-167)

[TECHNICAL ROOT CAUSE]
validateAndCalculateDiscount checks coupon.getUsedCount() >= coupon.getUsageLimit() without a pessimistic database lock or version check. Concurrent requests read stale usedCount values simultaneously before incrementing.

[STEPS TO REPRODUCE]
1. Create a coupon with usageLimit = 10.
2. Send 50 concurrent checkout requests with the coupon code using k6 or Apache JMeter.
3. Check coupon record in database -> usedCount exceeds 10 (e.g. 25-40 usages recorded).

[EXPECTED BEHAVIOR]
Coupon usage must be strictly constrained to usageLimit even under high concurrency.

[ACTUAL BEHAVIOR]
Concurrent requests bypass the check and inflate coupon usage beyond specified limit.

[PROPOSED RESOLUTION]
Acquire a pessimistic lock on the coupon row (@Lock(LockModeType.PESSIMISTIC_WRITE)) or execute atomic conditional increments: UPDATE coupons SET used_count = used_count + 1 WHERE id = :id AND used_count < usage_limit."
"Android 12+ Splash Screen Theme Discrepancy Causes Bright Blue Flash on Launch","Improvement","Low","mobile ui","[SEVERITY & IMPACT]
P3 - Visual Polish & Dark Mode Aesthetic.
The mobile app cold launches with an electric blue (#208AEF) splash screen on Android 12+, contrasting harshly with the deep dark (#070B14) interface theme upon loading.

[AFFECTED FILES & LINES]
- fitempire-mobile/app.json (Lines 41-48)

[TECHNICAL ROOT CAUSE]
The expo-splash-screen configuration in app.json specifies backgroundColor: ""#208AEF"" instead of aligning with the app brand dark palette (#070B14).

[STEPS TO REPRODUCE]
1. Install release build on an Android 12+ device with system Dark Theme enabled.
2. Cold launch FitEmpire app from the launcher.
3. Screen flashes bright blue for 1 second before abruptly rendering the near-black UI.

[EXPECTED BEHAVIOR]
Seamless dark splash matching #070B14 theme with centered branding icon.

[ACTUAL BEHAVIOR]
Harsh bright blue screen flash jarring to user eyes in dark environments.

[PROPOSED RESOLUTION]
Update expo-splash-screen backgroundColor in app.json to #070B14 and configure dark splash styles."
"Missing Rate Limiting on OTP and Authentication Endpoints Permits Brute Force Attacks","Bug","High","backend security","[SEVERITY & IMPACT]
P1 - Security Vulnerability. High risk of credential stuffing and SMS toll fraud.
The /api/v1/auth/login and /api/v1/auth/verify-otp endpoints do not enforce IP or user-based request throttling, allowing automated scripts to brute-force 4-digit or 6-digit SMS OTPs.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/controller/AuthController.java
- fitempire-backend/src/main/java/com/fitempire/security/SecurityConfig.java

[TECHNICAL ROOT CAUSE]
There is no Bucket4j or Redis-backed sliding window rate limiter filter registered on unauthenticated public authentication endpoints.

[STEPS TO REPRODUCE]
1. Send 1,000 rapid POST requests to /api/v1/auth/verify-otp with incrementing OTP codes.
2. Server processes all 1,000 requests without returning HTTP 429 Too Many Requests.
3. Attacker can guess a 4-digit OTP (10,000 possibilities) in under 2 minutes.

[EXPECTED BEHAVIOR]
After 5 failed OTP attempts from the same IP or phone number within 15 minutes, requests should be blocked with HTTP 429.

[ACTUAL BEHAVIOR]
Endpoint allows unlimited attempts without rate limiting.

[PROPOSED RESOLUTION]
Implement Redis token bucket rate limiting via Bucket4j or Spring Cloud Gateway filter allowing max 5 attempts per minute per IP/phone."
"Spring Security CORS Configuration Employs Overly Permissive Wildcard Allowed Origins","Improvement","Low","backend security","[SEVERITY & IMPACT]
P3 - Security Hardening & Compliance.
Permitting wildcard or insecure origins in production opens the door to cross-origin data leakage and unauthorized API invocation from malicious domains.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/security/SecurityConfig.java (Lines 45-60)

[TECHNICAL ROOT CAUSE]
The CorsConfigurationSource bean configures setAllowedOriginPatterns(List.of(""*"")) or allows arbitrary localhost origins without environment-based profile isolation.

[STEPS TO REPRODUCE]
1. Send an OPTIONS preflight request to /api/v1/gyms with header Origin: https://evil-phishing-site.com.
2. Observe response header Access-Control-Allow-Origin: https://evil-phishing-site.com.

[EXPECTED BEHAVIOR]
CORS origins should be restricted to whitelist domains (fitempire.tech, admin.fitempire.tech, partner.fitempire.tech) in production.

[ACTUAL BEHAVIOR]
Wildcard origins are accepted in production configuration.

[PROPOSED RESOLUTION]
Externalize cors.allowed-origins to application.yml and inject strict whitelisted domain arrays in production."
"GlobalExceptionHandler Leaks Internal Database Tables and Stack Traces in 500 Responses","Bug","Medium","backend security","[SEVERITY & IMPACT]
P2 - Information Disclosure Vulnerability.
Unhandled exceptions expose internal PostgreSQL schema names, SQL constraints, and Java class stack traces to API clients, aiding attackers in vulnerability exploitation.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/common/exception/GlobalExceptionHandler.java

[TECHNICAL ROOT CAUSE]
The fallback @ExceptionHandler(Exception.class) method formats ex.getMessage() and root cause traces into the ApiResponse.error() response body returned to the client.

[STEPS TO REPRODUCE]
1. Send a malformed payload to /api/v1/memberships/subscribe that triggers a foreign key violation.
2. Response contains raw PSQLException: Detail: Key (user_id)=(...) is not present in table ""users"".

[EXPECTED BEHAVIOR]
Internal server errors should return a generic message ""An unexpected internal error occurred"" with a correlation ID, keeping technical stack traces in server logs.

[ACTUAL BEHAVIOR]
Raw database exceptions and class traces are returned in client response JSON.

[PROPOSED RESOLUTION]
Sanitize error messages in GlobalExceptionHandler so generic exceptions return sanitized user-facing messages."
"Missing Format Validation on UUID Path Variables Causes Unhandled MethodArgumentTypeMismatchException","Improvement","Low","backend validation","[SEVERITY & IMPACT]
P3 - API Hygiene & Log Noise.
When client passes an invalid UUID string (e.g. /v1/gyms/abc-123), Spring throws MethodArgumentTypeMismatchException resulting in unformatted 500 or generic 400 responses polluting error telemetry.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/gyms/controller/GymController.java
- fitempire-backend/src/main/java/com/fitempire/modules/bookings/controller/BookingController.java

[TECHNICAL ROOT CAUSE]
Controllers use @PathVariable UUID id without regex constraints or custom validators, causing Spring conversion service failure before reaching business logic.

[STEPS TO REPRODUCE]
1. Execute GET /api/v1/gyms/not-a-valid-uuid.
2. Server responds with ugly MethodArgumentTypeMismatchException and unformatted error payload.

[EXPECTED BEHAVIOR]
Endpoint should reject invalid UUID formats immediately with standard 400 Bad Request: ""Invalid resource identifier format"".

[ACTUAL BEHAVIOR]
Conversion error throws deep in Spring framework stack.

[PROPOSED RESOLUTION]
Add a dedicated MethodArgumentTypeMismatchException handler in GlobalExceptionHandler returning a structured RFC-7807 error payload."
"Missing Database Indexes on High-Volume Foreign Keys Causes Slow Full Table Scans","Improvement","Low","backend database","[SEVERITY & IMPACT]
P3 - Database Performance & Query Latency.
As the bookings and attendance tables grow past 50,000 records, queries filtering by user_id, gym_id, and booking_date degrade from sub-10ms index scans to 800ms+ sequential table scans.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/resources/db/migration/V1__initial_schema.sql
- fitempire-backend/src/main/java/com/fitempire/modules/bookings/entity/Booking.java

[TECHNICAL ROOT CAUSE]
Foreign key columns (user_id, gym_id, branch_id) in the bookings table do not have explicit B-tree indexes defined in PostgreSQL DDL.

[STEPS TO REPRODUCE]
1. Populate database with 100,000 dummy bookings.
2. Run EXPLAIN ANALYZE SELECT * FROM bookings WHERE user_id = '...' AND booking_date = '2026-09-08'.
3. Query plan indicates Seq Scan on bookings with high execution cost.

[EXPECTED BEHAVIOR]
Query should utilize compound index idx_bookings_user_date for rapid index-only lookup.

[ACTUAL BEHAVIOR]
Full table sequential scan executed on every member bookings lookup.

[PROPOSED RESOLUTION]
Add Flyway migration creating indexes: CREATE INDEX idx_bookings_user_date ON bookings(user_id, booking_date) and idx_bookings_gym_status ON bookings(gym_id, status)."
"HikariCP Pool Lacks Leak Detection Threshold and Aggressive Connection Eviction","Improvement","Low","backend database","[SEVERITY & IMPACT]
P3 - Connection Pool Starvation Resilience.
If any thread hangs on an uncommitted transaction or third-party HTTP call inside @Transactional, the connection remains held indefinitely, starving the Hikari pool.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/resources/application.yml (Lines 44-52)

[TECHNICAL ROOT CAUSE]
application.yml defines connection-timeout: 30000 but omits leak-detection-threshold and max-lifetime tuning for Neon serverless pooler.

[STEPS TO REPRODUCE]
1. Simulate a long-running transaction held for 60 seconds.
2. Hikari logs provide no warning of a potential connection leak.
3. Once pool size of 10 is reached, all subsequent incoming API requests hang for 30s before throwing ConnectionTimeoutException.

[EXPECTED BEHAVIOR]
HikariCP should log an Apparent connection leak detected after 5,000ms with full stack trace.

[ACTUAL BEHAVIOR]
No leak detection configured.

[PROPOSED RESOLUTION]
Add spring.datasource.hikari.leak-detection-threshold: 5000 to application.yml."
"Wallet Balance Deduction Lacks Atomic Database Decrement Creating Negative Balance Vulnerability","Bug","High","backend payments","[SEVERITY & IMPACT]
P1 - Financial Deficit & Fraud Risk.
Concurrent wallet transactions (e.g. paying for a class pass and buying a store item simultaneously) can double-spend the same wallet balance, driving wallet points into negative numbers.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/service/WalletService.java

[TECHNICAL ROOT CAUSE]
WalletService reads wallet.getBalance(), checks balance >= amount in Java memory, and then saves wallet.setBalance(balance - amount). Two concurrent threads read the same initial balance simultaneously.

[STEPS TO REPRODUCE]
1. User wallet contains ₹500 balance.
2. Fire two parallel requests at the exact same millisecond: Request A deducts ₹400, Request B deducts ₹400.
3. Both threads check 500 >= 400 (pass).
4. Both deduct ₹400, resulting in ₹800 spent from a ₹500 wallet balance.

[EXPECTED BEHAVIOR]
Second transaction should be rejected with Insufficient balance, or balance updated atomically via database lock.

[ACTUAL BEHAVIOR]
Balance is overwritten without concurrency protection, allowing double-spending.

[PROPOSED RESOLUTION]
Use atomic SQL update: UPDATE wallets SET balance = balance - :amount WHERE user_id = :userId AND balance >= :amount."
"Payment Order Creation Lacks Idempotency Key Allowing Duplicate Razorpay Orders","Improvement","Low","backend payments","[SEVERITY & IMPACT]
P3 - Financial Audit & Order Clutter.
When mobile users experience network lag and tap ""Pay Now"" repeatedly, multiple distinct Razorpay order IDs are generated for the exact same cart or pass purchase.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/payments/controller/PaymentController.java (Lines 22-39)

[TECHNICAL ROOT CAUSE]
PaymentController.createOrder accepts payload without an Idempotency-Key header or check against pending existing orders for the same item within the last 5 minutes.

[STEPS TO REPRODUCE]
1. Send 3 identical POST requests to /v1/payments/create-order with identical paymentId and amount.
2. Razorpay service returns 3 distinct order_... IDs.

[EXPECTED BEHAVIOR]
Re-requesting order creation for an active unpaid payment within 5 minutes should return the existing active Razorpay order ID.

[ACTUAL BEHAVIOR]
A new order is minted on every HTTP POST request.

[PROPOSED RESOLUTION]
Store razorpay_order_id on Payment entity and return existing order ID if payment is in PENDING state."
"Missing @SQLRestriction Soft-Delete Annotations Cause Deleted Gym Reviews to Appear in Feed","Bug","Medium","backend database","[SEVERITY & IMPACT]
P2 - Data Integrity & Content Moderation Leak.
When an administrator soft-deletes a spam or offensive gym review, the review continues to appear in public gym detail queries because JPA repository methods omit deleted = false checks.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/gyms/entity/GymReview.java
- fitempire-backend/src/main/java/com/fitempire/modules/gyms/repository/GymReviewRepository.java

[TECHNICAL ROOT CAUSE]
GymReview inherits BaseEntity (deleted boolean) but lacks Hibernate 6 @SQLRestriction(""is_deleted = false"") on the entity class.

[STEPS TO REPRODUCE]
1. Create a review on Iron Culture Gym.
2. Admin soft-deletes the review (deleted = true).
3. Fetch gym details with child reviews -> Soft-deleted review still appears in the JSON array.

[EXPECTED BEHAVIOR]
Soft-deleted reviews must be automatically filtered out of all public entity queries.

[ACTUAL BEHAVIOR]
Soft-deleted reviews remain visible to mobile users.

[PROPOSED RESOLUTION]
Add @SQLRestriction(""is_deleted = false"") to GymReview and related child entity classes."
"Gym Review Submission Lacks Verification of Actual Workout Attendance","Improvement","Low","backend business","[SEVERITY & IMPACT]
P3 - Review Authenticity & Fraud Prevention.
Users can submit 5-star ratings or defamatory 1-star reviews for gyms they have never stepped foot into or booked a pass for.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/gyms/service/GymReviewService.java

[TECHNICAL ROOT CAUSE]
GymReviewService checks only if user exists and gym exists, omitting a validation query against the attendance or bookings repository verifying ATTENDED status.

[STEPS TO REPRODUCE]
1. User registers a brand new account.
2. User immediately sends POST /api/v1/gyms/{id}/reviews with rating 1 and text ""Terrible place"".
3. Review is saved and gym average rating drops.

[EXPECTED BEHAVIOR]
System should reject review with HTTP 403: ""You can only review gyms where you have verified workout attendance.""

[ACTUAL BEHAVIOR]
Anyone with an account can post arbitrary reviews for any gym.

[PROPOSED RESOLUTION]
Add verification in GymReviewService: attendanceRepository.existsByUserIdAndGymIdAndStatus(userId, gymId, 'CHECKED_IN')."
"Absence of Max Limit Enforcement on Pageable size Parameter Risks OutOfMemory Denial of Service","Bug","Medium","backend performance","[SEVERITY & IMPACT]
P2 - Server Denial of Service / OutOfMemoryError.
An attacker can request ?size=500000 on gym or booking listing endpoints, forcing Hibernate to instantiate hundreds of thousands of JPA entities into JVM heap, triggering GC pauses and OOM crashes.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/gyms/controller/GymController.java
- fitempire-backend/src/main/java/com/fitempire/modules/bookings/controller/BookingController.java

[TECHNICAL ROOT CAUSE]
Spring Data Pageable accepts arbitrary size query parameters without capping PageableHandlerMethodArgumentResolver.setMaxPageSize(100).

[STEPS TO REPRODUCE]
1. Send GET /api/v1/gyms?page=0&size=100000.
2. Server loads 100,000 gym rows into memory, causing JVM heap spike and high CPU latency.

[EXPECTED BEHAVIOR]
Page size should be clamped to a maximum of 50 or 100 items per page regardless of client request parameter.

[ACTUAL BEHAVIOR]
Server attempts to load all requested records into memory.

[PROPOSED RESOLUTION]
Configure spring.data.web.pageable.max-page-size: 100 in application.yml and sanitize Pageable in web config."
"Attendance QR Token Window Too Wide and Lacks Single-Use Nonce Permitting Token Replay","Bug","High","backend security","[SEVERITY & IMPACT]
P1 - Membership Fraud & QR Sharing.
The dynamic QR code displayed on the member app can be screenshotted and shared on WhatsApp to allow multiple friends into the gym because the token validity window is 10 minutes and lacks single-use validation.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/service/QrCodeService.java
- fitempire-backend/src/main/java/com/fitempire/modules/partner/service/AttendanceService.java

[TECHNICAL ROOT CAUSE]
QR token payload contains user ID and expiry timestamp but lacks a cryptographically random nonce stored in Redis that gets consumed (deleted) upon first scan.

[STEPS TO REPRODUCE]
1. Member generates dynamic check-in QR code on phone.
2. Member takes a screenshot and sends to a friend via WhatsApp.
3. Member scans QR at turnstile 1 -> entry granted.
4. Friend scans the same screenshot 2 minutes later at turnstile 2 -> entry granted again.

[EXPECTED BEHAVIOR]
QR code must have a 60-second time-to-live and single-use nonce invalidated immediately upon first scan in Redis.

[ACTUAL BEHAVIOR]
Replay scans succeed within the generous timestamp window.

[PROPOSED RESOLUTION]
Store QR nonce in Redis with 60s TTL; use redisTemplate.delete(nonce) during check-in and reject if key does not exist."
"Spring Actuator Endpoints Expose Internal Health and Metrics Without Admin Role Restriction","Improvement","Low","backend security","[SEVERITY & IMPACT]
P3 - Security Best Practice / Telemetry Protection.
Actuator endpoints provide operational visibility into database status, disk space, and application metrics which should not be publicly accessible to anonymous internet clients.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/resources/application.yml (Lines 220-235)
- fitempire-backend/src/main/java/com/fitempire/security/SecurityConfig.java

[TECHNICAL ROOT CAUSE]
management.endpoints.web.exposure.include: ""*"" is enabled, and SecurityConfig permits requestMatchers(""/actuator/**"").permitAll().

[STEPS TO REPRODUCE]
1. Open http://localhost:8080/actuator/beans or /actuator/env without an Authorization header.
2. System returns full JSON list of application context beans and configurations.

[EXPECTED BEHAVIOR]
Only /actuator/health should be public (for Kubernetes / ECS liveness probes); all other actuator endpoints must require SUPER_ADMIN authority.

[ACTUAL BEHAVIOR]
All exposed actuator endpoints respond to unauthenticated requests.

[PROPOSED RESOLUTION]
Restructure SecurityConfig to restrict /actuator/** (except /actuator/health) to hasRole('SUPER_ADMIN')."
"Absence of Distributed Lock (ShedLock) on Scheduled Pass Expiry Batch Causes Redundant Runs in Clustered Deployment","Improvement","Low","backend async","[SEVERITY & IMPACT]
P3 - Cluster Coordination & Database Contention.
When the backend runs on multiple Docker container replicas or AWS ECS instances, the midnight pass expiration cron (@Scheduled) executes simultaneously on all nodes, causing lock contention and duplicate notification triggers.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/service/MembershipSchedulerService.java

[TECHNICAL ROOT CAUSE]
@Scheduled(cron = ""0 0 0 * * ?"") lacks a distributed locking provider like ShedLock or Redisson, leading every active Spring context to fire the job concurrently.

[STEPS TO REPRODUCE]
1. Run two instances of FitEmpire backend connected to the same Neon database.
2. Fast-forward clock to midnight.
3. Both instances execute expireOverdueMemberships() at the same second.
4. Users with expiring passes receive duplicate SMS and push notifications.

[EXPECTED BEHAVIOR]
Only one node in the cluster should acquire the lock and execute the scheduled batch job.

[ACTUAL BEHAVIOR]
All running nodes execute the scheduled batch independently.

[PROPOSED RESOLUTION]
Add ShedLock dependency with Redis or JDBC lock provider: @SchedulerLock(name = ""expireMembershipsLock"", lockAtMostFor = ""10m"")."
"Cache Eviction Annotations Missing on Gym Updates Result in Stale Gym Cache","Bug","Medium","backend cache","[SEVERITY & IMPACT]
P2 - Stale Data & Customer Confusion.
When a gym updates its operating hours or amenities, users continue seeing old cached gym information for up to 1 hour because Redis cache keys are never invalidated on update.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/gyms/service/GymService.java

[TECHNICAL ROOT CAUSE]
getGymById is annotated with @Cacheable(value = ""gyms"", key = ""#id""), but updateGym() and deleteGym() lack corresponding @CacheEvict(value = ""gyms"", key = ""#id"") annotations.

[STEPS TO REPRODUCE]
1. Member views gym details -> Cached in Redis key gyms::123.
2. Gym owner updates opening time from 06:00 AM to 08:00 AM in partner portal.
3. Member re-opens gym page -> Displays stale 06:00 AM opening time until Redis TTL expires.

[EXPECTED BEHAVIOR]
Modifying gym details should immediately evict the stale Redis cache entry.

[ACTUAL BEHAVIOR]
Cache remains stale until automatic expiration.

[PROPOSED RESOLUTION]
Annotate updateGym with @CacheEvict(value = ""gyms"", key = ""#id"") and clear gym list caches."
"Insecure Direct Object Reference (IDOR) on Member Booking Cancellation Endpoint","Bug","High","backend security","[SEVERITY & IMPACT]
P1 - Authorization Bypass & Griefing Attack.
A malicious user can cancel arbitrary bookings belonging to other members by submitting other members booking UUIDs to /v1/bookings/{id}/cancel without ownership verification.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/bookings/service/BookingService.java

[TECHNICAL ROOT CAUSE]
BookingService.cancelBooking(UUID bookingId) looks up booking by ID and transitions status to CANCELLED without verifying booking.getUser().getId().equals(currentUser.getId()).

[STEPS TO REPRODUCE]
1. User A books a slot (bookingId: 1111).
2. User B logs in and sends PUT /api/v1/bookings/1111/cancel with User B auth token.
3. Server cancels User A booking and sends cancellation SMS to User A.

[EXPECTED BEHAVIOR]
Server must return 403 Forbidden: ""You are not authorized to cancel this booking.""

[ACTUAL BEHAVIOR]
Any authenticated user can cancel any other users bookings.

[PROPOSED RESOLUTION]
Add ownership check: if (!booking.getUser().getId().equals(currentUser.getId()) && !isAdmin) throw new AccessDeniedException(...)."
"Customer Sensitive PII (Phone, Email, Passwords) Logged in Plaintext Application Logs","Improvement","Low","backend security","[SEVERITY & IMPACT]
P3 - Compliance & Log Sanitization (DPDP Act / GDPR).
Logging raw incoming request payloads prints customer mobile numbers and plain passwords into standard output logs ingested by AWS CloudWatch or third-party log aggregators.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/security/jwt/JwtAuthenticationFilter.java
- fitempire-backend/src/main/java/com/fitempire/controller/AuthController.java

[TECHNICAL ROOT CAUSE]
log.info(""Register request received: {}"", request) logs the entire DTO including raw phone numbers and password fields without maskers.

[STEPS TO REPRODUCE]
1. Register a new user via mobile app.
2. Inspect backend console output or log file.
3. Notice full customer phone number and email logged in plaintext.

[EXPECTED BEHAVIOR]
PII fields must be masked (e.g. +91 98*** **520) and passwords excluded from toString() representation.

[ACTUAL BEHAVIOR]
Sensitive data printed directly to application logs.

[PROPOSED RESOLUTION]
Add @ToString.Exclude on sensitive DTO fields (password, otp, pin) and implement a Logback masking pattern."
"Missing Cascading Soft-Delete on Branches and Slots When Parent Gym Entity Is Deleted","Bug","Medium","backend database","[SEVERITY & IMPACT]
P2 - Orphaned Child Records & Ghost Slots.
When a gym partner leaves the platform and admin soft-deletes the parent Gym entity, child branches and workout batches remain marked active = true and deleted = false, appearing in search queries.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/gyms/service/GymService.java
- fitempire-backend/src/main/java/com/fitempire/modules/gyms/entity/Gym.java

[TECHNICAL ROOT CAUSE]
softDelete() method on Gym sets only this.deleted = true without cascading the soft-delete flag down to child branch, batch, and slot collections.

[STEPS TO REPRODUCE]
1. Admin deletes ""Gold Fitness Gym"".
2. Gym entity is marked deleted = true.
3. Query /v1/slots/search -> Workout batches from Gold Fitness Gym still appear and can be booked by users.

[EXPECTED BEHAVIOR]
Soft-deleting a parent gym must cascade and deactivate all associated branches, batches, and active booking slots.

[ACTUAL BEHAVIOR]
Child records remain active and bookable.

[PROPOSED RESOLUTION]
Update GymService.deleteGym() to iterate and soft-delete all child branches and cancel unfulfilled future booking slots with refund."
"Fractional Percentage Rounding Inaccuracies in Coupon Discount Calculations","Improvement","Low","backend coupons","[SEVERITY & IMPACT]
P3 - Financial Accounting Discrepancy.
When coupons apply percentage discounts (e.g. 15% off ₹799), floating-point arithmetic can produce values with fractional paise causing 1-paise reconciliation errors against Razorpay orders.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/coupons/service/CouponService.java (Lines 133-137)

[TECHNICAL ROOT CAUSE]
CouponService performs division with BigDecimal.valueOf(100.0) with RoundingMode.HALF_UP without enforcing currency scale(2, RoundingMode.DOWN) to prevent sub-paise truncation discrepancies.

[STEPS TO REPRODUCE]
1. Apply 15% discount on ₹799 pass -> Mathematical value is 119.85.
2. Test varying pricing amounts with coupons; observe slight discrepancies between cart summary and Razorpay captured amount.

[EXPECTED BEHAVIOR]
Standard banking rounding rules (HALF_EVEN or DOWN to 2 decimal places) enforced consistently across cart, payment, and invoice entities.

[ACTUAL BEHAVIOR]
Occasional 1-paise variance between coupon discount and Razorpay charge amount.

[PROPOSED RESOLUTION]
Enforce setScale(2, RoundingMode.HALF_EVEN) on all coupon and tax calculations."
"Lack of Validation on Overlapping Concurrent Booking Slots for the Same Member","Bug","Medium","backend bookings","[SEVERITY & IMPACT]
P2 - Slot Hoarding & Schedule Conflicts.
A member can book two conflicting workout slots at the exact same hour in two different gyms located 15 kilometers apart, hoarding limited class capacity.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/bookings/service/BookingService.java

[TECHNICAL ROOT CAUSE]
BookingService checks slot capacity but does not verify whether the user already has an active CONFIRMED booking overlapping the requested slot time window on the same date.

[STEPS TO REPRODUCE]
1. Book Boxing Class at Gym A from 07:00 PM to 08:00 PM.
2. Book Swimming Slot at Gym B from 07:00 PM to 08:00 PM on the same date.
3. Both bookings succeed.

[EXPECTED BEHAVIOR]
System should reject the second booking with: ""You already have a confirmed workout booking during this time slot.""

[ACTUAL BEHAVIOR]
User can hoard overlapping workout slots simultaneously.

[PROPOSED RESOLUTION]
Add validation in BookingService: bookingRepository.existsOverlappingBooking(userId, date, startTime, endTime)."
"Absence of Correlation ID (X-Request-ID) in Logging Pipeline Impedes Distributed Tracing","Improvement","Low","backend logging","[SEVERITY & IMPACT]
P3 - Observability & Debugging Enhancement.
When multiple concurrent requests execute, log statements from different threads interleave, making it time-consuming to isolate the complete lifecycle of a single failed payment or booking request.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/resources/logback-spring.xml
- fitempire-backend/src/main/java/com/fitempire/security/jwt/JwtAuthenticationFilter.java

[TECHNICAL ROOT CAUSE]
The application does not use an MDC (Mapped Diagnostic Context) servlet filter to generate and attach a unique X-Request-ID header to every inbound request.

[STEPS TO REPRODUCE]
1. Send an API request to the backend.
2. Response headers lack X-Request-ID.
3. Inspect server log file; individual log lines have timestamps but no unifying trace ID.

[EXPECTED BEHAVIOR]
Every request should assign or propagate X-Request-ID, include it in log patterns ([%X{requestId}]), and return it in response headers.

[ACTUAL BEHAVIOR]
Logs lack unified request tracing identifiers.

[PROPOSED RESOLUTION]
Implement an MDCLoggingFilter extracting or generating UUID request ID and clearing MDC in a finally block."
"Missing Optimistic Lock Handling on Slot Booking Triggers Unhandled 500 Error Under Concurrency","Bug","Medium","backend bookings","[SEVERITY & IMPACT]
P2 - Poor User Experience on Sold-Out Slots.
When multiple members attempt to book the final remaining slot in a class simultaneously, the losing thread throws ObjectOptimisticLockingFailureException resulting in a generic 500 crash instead of a clean ""Slot is fully booked"" message.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/bookings/service/BookingService.java
- fitempire-backend/src/main/java/com/fitempire/common/exception/GlobalExceptionHandler.java

[TECHNICAL ROOT CAUSE]
GlobalExceptionHandler does not have a dedicated handler for ObjectOptimisticLockingFailureException or StaleObjectStateException.

[STEPS TO REPRODUCE]
1. Class has 1 spot remaining.
2. Two users tap ""Book"" at the same instant.
3. User A succeeds; User B receives an unhandled 500 Internal Server Error dialog.

[EXPECTED BEHAVIOR]
User B should receive HTTP 409 Conflict: ""This slot was just filled by another member. Please select another time.""

[ACTUAL BEHAVIOR]
Generic 500 Internal Server Error displayed.

[PROPOSED RESOLUTION]
Add exception handler in GlobalExceptionHandler translating OptimisticLockingFailureException into HTTP 409 with friendly retry prompt."
"Email Dispatch Lacks Asynchronous Queue and Retry Mechanism for Transient SMTP Outages","Improvement","Low","backend notifications","[SEVERITY & IMPACT]
P3 - Notification Reliability.
If Gmail SMTP server temporarily times out during password reset or pass purchase, the email is permanently lost with no retry mechanism.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/service/NotificationService.java

[TECHNICAL ROOT CAUSE]
Email dispatch executes directly via JavaMailSender without a persistent outbox pattern or Spring Retry (@Retryable) configuration.

[STEPS TO REPRODUCE]
1. Simulate temporary network interruption on SMTP port 587.
2. Purchase a pass.
3. Log shows MailSendException; email receipt is discarded permanently.

[EXPECTED BEHAVIOR]
Transient email failures should be retried 3 times with exponential backoff (1s, 2s, 4s).

[ACTUAL BEHAVIOR]
Failed emails are dropped immediately.

[PROPOSED RESOLUTION]
Add @Retryable(value = {MailException.class}, maxAttempts = 3, backoff = @Backoff(delay = 2000)) to email dispatch methods."
