"Summary","Issue Type","Priority","Labels","Description"
"Telehealth Care Screen Lacks Appointment Booking and Confirmation Workflow","Bug","High","mobile care","[SEVERITY & IMPACT]
P1 - Broken Core Feature.
The Care screen showcases top sports dietitians and physiotherapists with next available slots, but tapping ""Book Consultation"" displays a dummy alert without booking an appointment on the backend.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/care.tsx

[TECHNICAL ROOT CAUSE]
handleBookConsultation only executes Alert.alert('Consultation Confirmed', 'Dr. Ananya will connect...') without creating a DoctorAppointment record in the database.

[STEPS TO REPRODUCE]
1. Open Care screen.
2. Select Dr. Ananya Sen and tap ""Book Consultation"".
3. Alert pops up saying confirmed.
4. No appointment record is saved, no doctor notification is sent, and no video link is provided.

[EXPECTED BEHAVIOR]
Tapping book should open slot picker, verify membership benefit, create appointment in database, and generate video consultation room.

[ACTUAL BEHAVIOR]
Mock alert dialog with zero backend booking persistence.

[PROPOSED RESOLUTION]
Create DoctorAppointment entity, /api/v1/care/appointments endpoint, and real appointment confirmation screen."
"Missing Video Telehealth Room Integration (WebRTC / Agora / Twilio) for Remote Consultations","Improvement","Low","mobile care","[SEVERITY & IMPACT]
P3 - Telehealth Video Experience.
When the appointment time arrives, the app has no integrated video calling room (Agora / Twilio / Jitsi SDK) to connect the member and dietitian on audio/video.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/care.tsx

[TECHNICAL ROOT CAUSE]
No real-time video SDK integrated in mobile app or backend token generator for WebRTC rooms.

[STEPS TO REPRODUCE]
1. View confirmed telehealth consultation.
2. No ""Join Video Call"" button exists inside the app.

[EXPECTED BEHAVIOR]
Secure in-app video consultation room with camera, microphone, and chat controls.

[ACTUAL BEHAVIOR]
Video calling infrastructure absent.

[PROPOSED RESOLUTION]
Integrate Agora React Native SDK or Jitsi Meet WebRTC room launcher."
"Doctor Appointment Double-Booking Possible Due to Missing Slot Concurrency Lock","Bug","Medium","backend care","[SEVERITY & IMPACT]
P2 - Doctor Schedule Conflict.
Two users booking Dr. Rajesh Nair 04:30 PM slot at the same second both get confirmed for the exact same doctor time window.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/ecosystem/

[TECHNICAL ROOT CAUSE]
No slot reservation lock or status check (AVAILABLE -> HELD -> BOOKED) prior to appointment confirmation.

[STEPS TO REPRODUCE]
1. Doctor has 1 slot open at 04:30 PM.
2. Two users submit booking simultaneously.
3. Both bookings succeed; doctor has two patients arriving at the same video room.

[EXPECTED BEHAVIOR]
Second booking should fail with: ""This doctor slot was just taken by another patient.""

[ACTUAL BEHAVIOR]
Simultaneous bookings permitted.

[PROPOSED RESOLUTION]
Use database pessimistic locking on doctor slot row during appointment creation."
"Telehealth Prescription and Diet Chart PDF Storage and Patient Download Missing","Improvement","Low","mobile care","[SEVERITY & IMPACT]
P3 - Patient Care Record Keeping.
After a nutrition consultation, doctors cannot upload a customized PDF diet plan, and patients cannot view or download their consultation notes in the app.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/care.tsx

[TECHNICAL ROOT CAUSE]
No prescription attachment model or patient medical document storage bucket configured.

[STEPS TO REPRODUCE]
1. Complete consultation with nutritionist.
2. Patient has no ""My Prescriptions & Diet Charts"" tab in Care screen to review doctor recommendations.

[EXPECTED BEHAVIOR]
Patient Care tab listing past doctor notes with downloadable PDF diet charts.

[ACTUAL BEHAVIOR]
Feature absent.

[PROPOSED RESOLUTION]
Add ConsultationNotes entity with S3 PDF attachment storage and patient view."
"Doctor Cancellation by Patient Lacks Minimum Notice Window Notice (12-Hour Policy)","Improvement","Low","backend care","[SEVERITY & IMPACT]
P3 - Doctor Time Protection.
Patients can cancel their doctor consultation 1 minute before the scheduled call without penalty, wasting professional physician time slots.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/java/com/fitempire/modules/ecosystem/

[TECHNICAL ROOT CAUSE]
Cancellation logic does not check if appointment start time is within 12 hours of cancellation request.

[STEPS TO REPRODUCE]
1. Schedule doctor appointment for 04:00 PM.
2. Cancel at 03:59 PM.
3. System cancels without warning or late cancellation fee.

[EXPECTED BEHAVIOR]
Require 12-hour minimum notice for free cancellation; warn user of consultation forfeiture if cancelling within 12 hours.

[ACTUAL BEHAVIOR]
Instant last-minute cancellation permitted.

[PROPOSED RESOLUTION]
Enforce 12-hour notice window in DoctorAppointmentService.cancelAppointment()."
"Telehealth Intake Questionnaire Missing Medical History and Allergy Disclosures","Improvement","Low","mobile care","[SEVERITY & IMPACT]
P3 - Clinical Safety & Doctor Preparedness.
Before joining a nutrition consultation, patients are not prompted to list existing medical conditions (Diabetes, Hypertension) or food allergies (Lactose, Gluten, Nuts).

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/care.tsx

[TECHNICAL ROOT CAUSE]
Booking flow immediately confirms without an intermediate ClinicalIntakeModal collecting health history.

[STEPS TO REPRODUCE]
1. Book sports dietitian consultation.
2. Appointment confirms without asking if patient is diabetic or allergic to dairy.

[EXPECTED BEHAVIOR]
Prompt 3 quick questions: ""Existing medical conditions?"", ""Food allergies?"", ""Current supplements?"".

[ACTUAL BEHAVIOR]
Zero clinical background collected before call.

[PROPOSED RESOLUTION]
Add pre-consultation medical questionnaire modal saving data to appointment context."
"Doctor Profile Missing Medical Registration Council Number and Verified Credential Badge","Improvement","Low","mobile care","[SEVERITY & IMPACT]
P3 - Patient Trust & Regulatory Compliance.
Telehealth profiles show doctor names and photos but omit state medical council registration numbers (NMC / State Medical Council ID), which is legally required for Indian telemedicine.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/care.tsx

[TECHNICAL ROOT CAUSE]
Doctor schema lacks registrationNumber and medicalCouncil fields displayed on profile cards.

[STEPS TO REPRODUCE]
1. View Dr. Ananya Sen profile.
2. Registration number is absent.

[EXPECTED BEHAVIOR]
Display verified badge and registration: ""Reg No: MCI-2015-84920 (Verified Medical Practitioner)"".

[ACTUAL BEHAVIOR]
No license numbers displayed.

[PROPOSED RESOLUTION]
Include medical council registration details on doctor profile cards."
"Doctor Consultation Rating and Feedback Prompt Missing Post-Video Call","Improvement","Low","mobile care","[SEVERITY & IMPACT]
P3 - Healthcare Quality Monitoring.
When a video consultation finishes, the app does not prompt the patient for feedback, preventing quality monitoring of doctors and dietitians.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/care.tsx

[TECHNICAL ROOT CAUSE]
No post-call feedback trigger component listening to call completion events.

[STEPS TO REPRODUCE]
1. Finish telehealth call.
2. App drops back to Care list with no feedback prompt.

[EXPECTED BEHAVIOR]
Prompt: ""How was your consultation with Dr. Ananya? ★★★★★ [Audio Quality / Advice Quality]"".

[ACTUAL BEHAVIOR]
No feedback mechanism.

[PROPOSED RESOLUTION]
Display ConsultationRatingModal upon call termination."
"Missing ProGuard / R8 Obfuscation Keep Rules for Razorpay SDK Triggers Release Crash","Bug","High","android native","[SEVERITY & IMPACT]
P1 - Release Build Fatal Crash on Payment.
When building the Android release APK / AAB in Android Studio with minifyEnabled true, R8 shrinks and obfuscates Razorpay SDK reflection classes, crashing the app when opening payment checkout.

[AFFECTED FILES & LINES]
- fitempire-mobile/android/app/proguard-rules.pro
- ANDROID_STUDIO_APP_GUIDE.md (Section 5)

[TECHNICAL ROOT CAUSE]
proguard-rules.pro is missing required Razorpay keep directives (-keep class com.razorpay.** { *; }).

[STEPS TO REPRODUCE]
1. Build release AAB in Android Studio: ./gradlew bundleRelease.
2. Install release build on physical Android phone.
3. Tap ""Pay Now"" on any pass -> App crashes instantly with ClassNotFoundException or NoSuchMethodError.

[EXPECTED BEHAVIOR]
Payment sheet should open smoothly with ProGuard rules preserving Razorpay native reflection interfaces.

[ACTUAL BEHAVIOR]
Immediate app crash in production release builds.

[PROPOSED RESOLUTION]
Add required ProGuard rules to proguard-rules.pro: -keep class com.razorpay.** { *; } -dontwarn com.razorpay.**."
"Missing 64-Bit ABI Filter Architecture Splits Inflates Release APK Size for Play Store","Improvement","Low","android native","[SEVERITY & IMPACT]
P3 - Play Store Download Size & Conversion.
Without ABI splits in build.gradle, the generated universal APK bundles native C++ binaries for all architectures (armeabi-v7a, arm64-v8a, x86, x86_64), inflating download size from 35MB to 95MB.

[AFFECTED FILES & LINES]
- fitempire-mobile/android/app/build.gradle

[TECHNICAL ROOT CAUSE]
splits { abi { enable true ... } } is disabled, bundling all architecture SO files into a single bloated binary.

[STEPS TO REPRODUCE]
1. Build universal release APK.
2. Check output size: ~95MB.

[EXPECTED BEHAVIOR]
Architecture splits should produce separate per-architecture APKs of ~35MB each for the Play Store.

[ACTUAL BEHAVIOR]
Bloated 95MB universal APK.

[PROPOSED RESOLUTION]
Configure ndk { abiFilters ""armeabi-v7a"", ""arm64-v8a"" } in app/build.gradle."
"Android 14 TargetSdkVersion 34 Compliance Requires Explicit Foreground Service Types","Bug","High","android native","[SEVERITY & IMPACT]
P1 - Google Play Store Policy Rejection.
Google Play requires all apps targeting Android 14 (API 34) that run background audio or workout tracking to declare specific foregroundServiceType attributes in AndroidManifest.xml, or face store submission rejection.

[AFFECTED FILES & LINES]
- fitempire-mobile/android/app/src/main/AndroidManifest.xml

[TECHNICAL ROOT CAUSE]
Service declarations lack android:foregroundServiceType=""mediaPlayback|health"" required by Android 14 security policies.

[STEPS TO REPRODUCE]
1. Set targetSdkVersion = 34 in build.gradle.
2. Submit AAB to Google Play Console.
3. Console rejects submission: ""Missing foreground service permission declarations"".

[EXPECTED BEHAVIOR]
Manifest must declare FOREGROUND_SERVICE_MEDIA_PLAYBACK and FOREGROUND_SERVICE_HEALTH permissions.

[ACTUAL BEHAVIOR]
Play Store rejection on Android 14 policy.

[PROPOSED RESOLUTION]
Add foreground service permissions and attributes to AndroidManifest.xml."
"Hermes JavaScript Engine Memory Heap Optimization Flags Missing in Gradle Properties","Improvement","Low","android native","[SEVERITY & IMPACT]
P3 - Memory Management on 2GB RAM Devices.
On low-end Android smartphones, the Hermes JavaScript engine runs with default heap allocation, causing garbage collection pauses during rapid navigation across video and explore feeds.

[AFFECTED FILES & LINES]
- fitempire-mobile/android/gradle.properties

[TECHNICAL ROOT CAUSE]
gradle.properties does not tune Hermes bytecode memory flags or enable org.gradle.jvmargs=-Xmx4096m.

[STEPS TO REPRODUCE]
1. Open Android Studio Memory Profiler while scrolling mobile feeds.
2. GC events pause the UI thread every 4 seconds.

[EXPECTED BEHAVIOR]
Hermes engine should optimize memory pooling to prevent UI thread stutter.

[ACTUAL BEHAVIOR]
Frequent GC stutter on low-end hardware.

[PROPOSED RESOLUTION]
Tune gradle.properties with optimized JVM args and Hermes memory flags."
"Android Adaptive Icon Vector XML Scaling Artifacts on High-DPI Tablet Displays","Improvement","Low","android native","[SEVERITY & IMPACT]
P3 - Visual Branding Polish.
When installed on Android tablets or high-density foldable phones (xxxhdpi), the launcher adaptive icon appears blurry due to missing vector XML drawable definitions.

[AFFECTED FILES & LINES]
- fitempire-mobile/android/app/src/main/res/mipmap-anydpi-v26/ic_launcher.xml

[TECHNICAL ROOT CAUSE]
The adaptive icon uses raster PNG foreground assets instead of scalable Android vector drawable XML (vector asset).

[STEPS TO REPRODUCE]
1. Install app on Samsung Galaxy Tab S9 or Pixel Tablet.
2. Inspect home screen app icon.
3. Icon edges appear pixelated compared to crisp system vector icons.

[EXPECTED BEHAVIOR]
Crisp vector icon rendering perfectly at any resolution.

[ACTUAL BEHAVIOR]
Blurry raster scaling on high-DPI screens.

[PROPOSED RESOLUTION]
Provide scalable vector XML drawable for adaptive icon foreground."
"Cleartext HTTP Traffic Permitted in Android Manifest Poses Man-in-the-Middle Risk","Bug","High","android native","[SEVERITY & IMPACT]
P1 - Security Vulnerability.
fitempire-mobile/app.json configures android.usesCleartextTraffic: true, allowing unencrypted HTTP API requests over public Wi-Fi networks where tokens and passwords can be sniffed.

[AFFECTED FILES & LINES]
- fitempire-mobile/app.json (Line 16)
- fitempire-mobile/android/app/src/main/AndroidManifest.xml

[TECHNICAL ROOT CAUSE]
usesCleartextTraffic: true was enabled for localhost development and never disabled for production release builds via network_security_config.xml.

[STEPS TO REPRODUCE]
1. Inspect app.json line 16: ""usesCleartextTraffic"": true.
2. App permits plain http:// API communication in production builds.

[EXPECTED BEHAVIOR]
Only HTTPS traffic permitted in production; cleartext allowed only for 10.0.2.2 in debug builds.

[ACTUAL BEHAVIOR]
Production app permits unencrypted HTTP traffic.

[PROPOSED RESOLUTION]
Implement res/xml/network_security_config.xml restricting cleartext traffic to localhost debug environments only."
"Android 12+ Splash Screen API Vector Icon Scaling Stretched on Landscape Orientation","Improvement","Low","android native","[SEVERITY & IMPACT]
P3 - Tablet & Foldable Orientation Glitch.
When launching the app in landscape orientation on an Android tablet, the splash screen FitEmpire logo stretches horizontally.

[AFFECTED FILES & LINES]
- fitempire-mobile/android/app/src/main/res/values-v31/styles.xml

[TECHNICAL ROOT CAUSE]
windowSplashScreenAnimatedIcon style does not specify gravity=""center"" or bounds constraints in drawable XML.

[STEPS TO REPRODUCE]
1. Rotate tablet to landscape orientation.
2. Cold launch app.
3. Splash icon distorts horizontally during 1-second cold boot.

[EXPECTED BEHAVIOR]
Splash logo maintains strict 1:1 aspect ratio centered on display.

[ACTUAL BEHAVIOR]
Stretched logo in landscape mode.

[PROPOSED RESOLUTION]
Configure windowSplashScreenIconBackgroundColor and center gravity in values-v31/styles.xml."
"Android Studio Gradle Build Fails with Duplicate Class Errors on React Native Vector Icons","Bug","Medium","android native","[SEVERITY & IMPACT]
P2 - Native Build Pipeline Failure.
Running ./gradlew assembleDebug in Android Studio fails with duplicate class org.lucide... errors when both lucide-react-native and custom fonts are imported.

[AFFECTED FILES & LINES]
- fitempire-mobile/android/app/build.gradle

[TECHNICAL ROOT CAUSE]
Font assets are duplicated across android/app/src/main/assets/fonts and node_modules font bundling plugins.

[STEPS TO REPRODUCE]
1. Open fitempire-mobile in Android Studio.
2. Execute Build -> Rebuild Project.
3. Gradle build fails with DuplicateResourceException: .../assets/fonts/lucide.ttf.

[EXPECTED BEHAVIOR]
Clean Gradle build with zero duplicate asset collisions.

[ACTUAL BEHAVIOR]
Build fails with duplicate resource conflict.

[PROPOSED RESOLUTION]
Exclude duplicate font paths in android/app/build.gradle packagingOptions."
"Notification Channel Not Registered on Android 8+ Causing Silent Drop of Push Notifications","Bug","High","android native","[SEVERITY & IMPACT]
P1 - Broken Marketing & Operational Push Alerts.
On Android 8.0+ (Oreo and higher), push notifications sent without an explicit NotificationChannel ID are dropped silently by the Android OS, preventing users from receiving class alerts.

[AFFECTED FILES & LINES]
- fitempire-mobile/src/app/_layout.tsx

[TECHNICAL ROOT CAUSE]
App does not call Notifications.setNotificationChannelAsync('default', { name: 'FitEmpire Alerts', importance: Notifications.AndroidImportance.MAX }) on app boot.

[STEPS TO REPRODUCE]
1. Install app on Android 12 device.
2. Send push notification from backend.
3. Notification never displays in notification tray because channel ID is missing.

[EXPECTED BEHAVIOR]
Create default high-importance notification channel with sound and vibration enabled.

[ACTUAL BEHAVIOR]
Notifications dropped silently by Android OS.

[PROPOSED RESOLUTION]
Register notification channels in root layout during mobile initialization."
"Gradle Build Caching Disabled in android/gradle.properties Slowing Android Studio Sync","Improvement","Low","android native","[SEVERITY & IMPACT]
P3 - Developer Velocity.
Every time developers open the project in Android Studio, Gradle project sync takes 3+ minutes because org.gradle.caching=true and org.gradle.parallel=true are commented out.

[AFFECTED FILES & LINES]
- fitempire-mobile/android/gradle.properties

[TECHNICAL ROOT CAUSE]
Build cache and parallel execution flags are missing in local Gradle properties.

[STEPS TO REPRODUCE]
1. Run ./gradlew assembleDebug twice with no code changes.
2. Second build re-executes tasks from scratch instead of using UP-TO-DATE cache.

[EXPECTED BEHAVIOR]
Incremental Gradle builds should complete in under 15 seconds.

[ACTUAL BEHAVIOR]
Full rebuild executed every time.

[PROPOSED RESOLUTION]
Enable org.gradle.caching=true, org.gradle.parallel=true, and android.enableR8.fullMode=true."
"Missing Native Crash Reporting (Sentry / Firebase Crashlytics) in Android Release Builds","Improvement","Low","android native","[SEVERITY & IMPACT]
P3 - Observability & Crash Triaging.
When release builds crash in the wild on specific Samsung or Xiaomi devices, engineering has no crash logs, stack traces, or device telemetry to reproduce and fix the bug.

[AFFECTED FILES & LINES]
- fitempire-mobile/app.json
- fitempire-mobile/android/app/build.gradle

[TECHNICAL ROOT CAUSE]
No native crash reporting SDK (Sentry React Native or @react-native-firebase/crashlytics) is configured in app dependencies.

[STEPS TO REPRODUCE]
1. Trigger a native Android crash (e.g. out of memory in camera scanner).
2. App closes; zero crash reports appear in any developer console.

[EXPECTED BEHAVIOR]
Crash details (device model, Android OS version, native stack trace) automatically uploaded to Sentry / Crashlytics.

[ACTUAL BEHAVIOR]
Silent crash with zero telemetry.

[PROPOSED RESOLUTION]
Integrate @sentry/react-native with automated source map uploading in CI/CD."
"App Bundle (AAB) Missing Version Code Auto-Increment in CI/CD Release Pipeline","Improvement","Low","android native","[SEVERITY & IMPACT]
P3 - Release Engineering.
Developers building AAB releases must manually edit versionCode in app.json. Forgetting to bump it causes Google Play Console upload errors: ""Version code 1 has already been used"".

[AFFECTED FILES & LINES]
- fitempire-mobile/app.json
- .github/workflows/ci.yml

[TECHNICAL ROOT CAUSE]
versionCode is hardcoded to 1 without a CI/CD environment variable or Git commit counter auto-increment.

[STEPS TO REPRODUCE]
1. Build release AAB twice without manually modifying app.json.
2. Both builds produce versionCode: 1.
3. Second upload to Google Play is rejected.

[EXPECTED BEHAVIOR]
versionCode should auto-increment based on GitHub Actions run number (${{ github.run_number }}).

[ACTUAL BEHAVIOR]
Static versionCode requires manual edits.

[PROPOSED RESOLUTION]
Configure versionCode: process.env.GITHUB_RUN_NUMBER || 1 in app.config.js."
"Missing Unit Test Suite for PaymentController and Razorpay Signature Verification","Bug","High","backend testing","[SEVERITY & IMPACT]
P1 - Financial Regression Risk.
Core payment order creation, webhook verification, and signature calculation have 0% automated test coverage in fitempire-backend, allowing any code refactor to silently break payments.

[AFFECTED FILES & LINES]
- fitempire-backend/src/test/java/com/fitempire/modules/payments/PaymentControllerTest.java

[TECHNICAL ROOT CAUSE]
src/test directory contains only basic Spring context load test; no MockMvc or Mockito tests exist for RazorpayService.

[STEPS TO REPRODUCE]
1. Run mvn test in fitempire-backend.
2. Tests pass in 4 seconds because only 1 context test runs.
3. Intentionally break payment signature verification logic -> mvn test still passes with green checkmark!

[EXPECTED BEHAVIOR]
Comprehensive test suite testing valid signatures, invalid HMACs, expired internal payments, and webhook idempotency.

[ACTUAL BEHAVIOR]
Zero automated tests on financial payment flows.

[PROPOSED RESOLUTION]
Add PaymentControllerTest and RazorpayServiceTest with 100% test coverage using Mockito."
"Absence of Testcontainers Integration Tests for PostgreSQL Spatial and JSON Queries","Improvement","Low","backend testing","[SEVERITY & IMPACT]
P3 - Test Reliability & Realistic Testing.
Repository queries using PostgreSQL-specific functions (ACOS, RADIANS, JSONB) cannot be tested using in-memory H2 databases because H2 does not support Postgres trigonometric syntax.

[AFFECTED FILES & LINES]
- fitempire-backend/src/test/resources/application-test.yml

[TECHNICAL ROOT CAUSE]
Tests rely on standard spring-boot-starter-test without org.testcontainers:postgresql containerized database spinning up in CI.

[STEPS TO REPRODUCE]
1. Write a repository test for GymRepository.findNearby().
2. Running test against H2 fails with syntax error because H2 does not support PostgreSQL trigonometry.

[EXPECTED BEHAVIOR]
Integration tests spin up a real PostgreSQL 16 container via Testcontainers to validate native SQL.

[ACTUAL BEHAVIOR]
Integration tests cannot test spatial queries.

[PROPOSED RESOLUTION]
Add Testcontainers PostgreSQL dependency and configure @Testcontainers in base test class."
"Partner Portal Turnstile Check-In Workflow Lacks Automated End-to-End (Cypress / Playwright) Tests","Improvement","Low","frontend testing","[SEVERITY & IMPACT]
P3 - Quality Assurance & Release Confidence.
Front-desk QR scanning and manual check-in workflows are tested only manually before releases, risking catastrophic check-in failures during morning peak gym hours.

[AFFECTED FILES & LINES]
- fitempire-partner/package.json

[TECHNICAL ROOT CAUSE]
fitempire-partner has no Cypress or Playwright E2E test framework installed.

[STEPS TO REPRODUCE]
1. Run npm test in fitempire-partner.
2. No test runner is configured (No tests found).

[EXPECTED BEHAVIOR]
Automated E2E test simulating staff login -> QR camera scan -> verify attendance record in table.

[ACTUAL BEHAVIOR]
Zero automated frontend tests.

[PROPOSED RESOLUTION]
Install Playwright and create e2e/checkin.spec.ts running on every PR in GitHub Actions."
"Database Timestamp Timezone Discrepancy Between UTC Server and Asia/Kolkata Business Dates","Bug","Medium","backend database","[SEVERITY & IMPACT]
P2 - Daily Pass Quota Calculation Error.
A member checking in at 11:30 PM IST on September 8 is recorded on server as 06:00 PM UTC September 8. However, checks comparing LocalDate.now() with system UTC date cross midnight 5.5 hours early, causing pass quota resets at 05:30 AM instead of midnight.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/resources/application.yml
- fitempire-backend/src/main/java/com/fitempire/FitEmpireApplication.java

[TECHNICAL ROOT CAUSE]
JVM default timezone is UTC while business dates (passes, check-in quotas) operate in ZoneId.of(""Asia/Kolkata""). LocalDate.now() defaults to UTC.

[STEPS TO REPRODUCE]
1. Check in at 12:30 AM IST (September 9).
2. Server UTC time is 07:00 PM (September 8).
3. Check-in is stamped under previous day date, allowing member to check in again on September 9.

[EXPECTED BEHAVIOR]
All business dates should evaluate against ZoneId.of(""Asia/Kolkata"") or explicitly convert UTC instants.

[ACTUAL BEHAVIOR]
Timezone mismatch causes quota discrepancies around midnight.

[PROPOSED RESOLUTION]
Set TimeZone.setDefault(TimeZone.getTimeZone(""Asia/Kolkata"")) or use ZonedDateTime.now(ZoneId.of(""Asia/Kolkata""))."
"Mobile Jest Component Test Suite Missing for Pass Purchase and Checkout Flow","Improvement","Low","mobile testing","[SEVERITY & IMPACT]
P3 - Mobile App Regression Prevention.
Refactoring membership plan cards or pricing buttons often accidentally breaks plan selection without developers noticing until users report broken purchase buttons.

[AFFECTED FILES & LINES]
- fitempire-mobile/package.json

[TECHNICAL ROOT CAUSE]
jest and @testing-library/react-native are not configured with mocked Expo router and auth context providers.

[STEPS TO REPRODUCE]
1. Run npm test in fitempire-mobile.
2. Command fails: ""No tests found"".

[EXPECTED BEHAVIOR]
Automated unit tests asserting that selecting ""FitEmpire 360"" displays ₹7,999 and triggers payment handler.

[ACTUAL BEHAVIOR]
No unit testing in mobile app.

[PROPOSED RESOLUTION]
Setup Jest with React Native Testing Library and add __tests__/membership.test.tsx."
"Unique Constraint Missing on (email, is_deleted) in Users Table Permitting Duplicate Active Accounts","Bug","High","backend database","[SEVERITY & IMPACT]
P1 - Authentication Ambiguity & Database Corruption.
The users table has a global UNIQUE constraint on email. When a user soft-deletes their account, they can never register again with the same email address because the unique constraint conflicts with the soft-deleted row.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/resources/db/migration/V1__initial_schema.sql
- fitempire-backend/src/main/java/com/fitempire/modules/users/entity/User.java

[TECHNICAL ROOT CAUSE]
DDL defines email VARCHAR(255) UNIQUE without partial index condition WHERE is_deleted = false.

[STEPS TO REPRODUCE]
1. User registers with rahul@gmail.com.
2. User deletes account (is_deleted = true).
3. User tries to register again with rahul@gmail.com.
4. Database throws DuplicateKeyException: Key (email)=(rahul@gmail.com) already exists.

[EXPECTED BEHAVIOR]
Soft-deleted emails should allow re-registration by enforcing uniqueness only on active accounts.

[ACTUAL BEHAVIOR]
Deleted users permanently locked out from re-registering.

[PROPOSED RESOLUTION]
Replace standard UNIQUE constraint with PostgreSQL partial unique index: CREATE UNIQUE INDEX idx_users_active_email ON users(email) WHERE is_deleted = false."
"PostgreSQL Database Connection Pool Exhaustion Due to Missing Transaction Timeout","Improvement","Low","backend database","[SEVERITY & IMPACT]
P3 - Database Resilience.
If an external API call hangs inside an open @Transactional method, the database transaction remains open indefinitely, locking rows and holding connections.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/resources/application.yml (Lines 22-37)

[TECHNICAL ROOT CAUSE]
spring.jpa.properties.javax.persistence.query.timeout is omitted, and default transaction timeout is not configured in Spring transaction manager.

[STEPS TO REPRODUCE]
1. Simulate network freeze on external third-party call inside a transactional service.
2. Check PostgreSQL pg_stat_activity -> Connection status is active in transaction for 10+ minutes.

[EXPECTED BEHAVIOR]
Transactions should automatically abort and roll back after 15 seconds: @Transactional(timeout = 15).

[ACTUAL BEHAVIOR]
Transactions can hang indefinitely.

[PROPOSED RESOLUTION]
Configure default transaction timeout of 15 seconds in application.yml."
"API Response Serialization Lacks Jackson Instant UTC ISO-8601 Formatting Standard","Improvement","Low","backend api","[SEVERITY & IMPACT]
P3 - API Client Consistency.
Some endpoints return dates as numeric Unix epoch milliseconds (1787210189000) while others return formatted ISO strings (""2026-09-08T10:30:00Z""), confusing mobile and web client date parsers.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/resources/application.yml (Lines 100-115)

[TECHNICAL ROOT CAUSE]
spring.jackson.serialization.write-dates-as-timestamps is not explicitly set to false in application.yml.

[STEPS TO REPRODUCE]
1. Query /v1/gyms -> Dates return as ISO-8601 strings.
2. Query /v1/payments -> Dates return as numeric millisecond timestamps.

[EXPECTED BEHAVIOR]
All dates formatted consistently in ISO-8601 UTC string format across all endpoints.

[ACTUAL BEHAVIOR]
Mixed epoch timestamps and ISO strings.

[PROPOSED RESOLUTION]
Set spring.jackson.serialization.write-dates-as-timestamps: false and date-format: yyyy-MM-dd'T'HH:mm:ss.SSSXXX in application.yml."
"Missing Security Headers (X-Frame-Options, X-Content-Type-Options) in Partner Portal","Improvement","Low","frontend security","[SEVERITY & IMPACT]
P3 - Clickjacking Defense & Web Hardening.
Without X-Frame-Options: DENY, a malicious website can embed the partner portal in a hidden <iframe> and trick front desk receptionists into clicking sensitive actions (clickjacking).

[AFFECTED FILES & LINES]
- fitempire-partner/vite.config.ts
- nginx.conf

[TECHNICAL ROOT CAUSE]
Nginx and Vite dev server response headers omit standard OWASP security headers (X-Frame-Options, X-Content-Type-Options, Referrer-Policy).

[STEPS TO REPRODUCE]
1. Create an HTML file with <iframe src=""https://partner.fitempire.tech""></iframe>.
2. Open HTML file in browser.
3. Partner portal renders successfully inside the third-party iframe.

[EXPECTED BEHAVIOR]
Browser should block iframe embedding with error: ""Embedding denied by X-Frame-Options: SAMEORIGIN"".

[ACTUAL BEHAVIOR]
Portal can be embedded in arbitrary external iframes.

[PROPOSED RESOLUTION]
Add add_header X-Frame-Options ""SAMEORIGIN"" always; and add_header X-Content-Type-Options ""nosniff"" always; in Nginx."
"Database Foreign Key Cascades Missing on User Audit Logs Causing Deletion Foreign Key Violations","Bug","Medium","backend database","[SEVERITY & IMPACT]
P2 - Data Retention & Hard Deletion Crash.
When an administrator attempts to hard-delete a test user account or GDPR privacy erasure request, the database throws DataIntegrityViolationException because child audit tables lack ON DELETE CASCADE.

[AFFECTED FILES & LINES]
- fitempire-backend/src/main/resources/db/migration/V1__initial_schema.sql

[TECHNICAL ROOT CAUSE]
Foreign key constraints in audit_logs and user_notifications tables do not define ON DELETE CASCADE or ON DELETE SET NULL.

[STEPS TO REPRODUCE]
1. User has 10 notifications and 5 audit logs.
2. Admin runs hard delete: userRepository.delete(user).
3. Server throws PSQLException: update or delete on table ""users"" violates foreign key constraint on table ""user_notifications"".

[EXPECTED BEHAVIOR]
Hard deletion should cleanly cascade or set foreign key references to null.

[ACTUAL BEHAVIOR]
Database foreign key violation blocks account deletion.

[PROPOSED RESOLUTION]
Add ON DELETE CASCADE to foreign keys in child notification and audit log tables."
